WaferID: N5GM12.16 (Step 10 to Step 16)
     ,  BasisFunction1,  BasisFunction1,  (nFringes*1000),  (nFringes*1000),  Endpoint Time (sec),  Endpoint Time (sec),  Delay Time (sec),  Delay Time (sec),  Normalization Time (sec),  Normalization Time (sec), 
     ,  Time (sec),  Value,  Time (sec),  Value,  Time (sec),  Value,  Time (sec),  Value,  Time (sec),  Value, 
 83,  8.300,  259973.36,  8.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 84,  8.400,  260016.36,  8.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 85,  8.500,  259916.45,  8.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 86,  8.600,  259916.64,  8.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 87,  8.700,  259856.55,  8.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 88,  8.800,  259654.91,  8.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 89,  8.900,  259568.64,  8.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 90,  9.000,  259454.27,  9.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 91,  9.100,  259460.64,  9.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 92,  9.200,  259414.81,  9.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 93,  9.300,  259353.45,  9.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 94,  9.400,  259269.81,  9.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 95,  9.500,  259324.64,  9.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 96,  9.600,  259618.19,  9.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 97,  9.700,  259594.09,  9.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 98,  9.800,  259633.55,  9.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 99,  9.900,  259866.00,  9.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 100,  10.000,  260321.73,  10.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 101,  10.100,  260385.55,  10.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 102,  10.200,  260030.00,  10.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 103,  10.300,  259578.91,  10.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 104,  10.400,  259697.45,  10.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 105,  10.500,  259869.73,  10.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 106,  10.600,  259592.19,  10.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 107,  10.700,  259402.91,  10.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 108,  10.800,  259228.81,  10.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 109,  10.900,  259111.64,  10.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 110,  11.000,  258917.45,  11.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 111,  11.100,  258633.64,  11.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 112,  11.200,  258964.91,  11.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 113,  11.300,  259045.81,  11.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 114,  11.400,  258982.91,  11.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 115,  11.500,  258774.91,  11.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 116,  11.600,  258768.55,  11.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 117,  11.700,  258780.36,  11.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 118,  11.800,  258782.45,  11.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 119,  11.900,  258837.00,  11.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 120,  12.000,  258698.09,  12.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 121,  12.100,  258669.19,  12.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 122,  12.200,  258413.27,  12.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 123,  12.300,  257898.73,  12.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 124,  12.400,  257748.27,  12.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 125,  12.500,  257775.55,  12.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 126,  12.600,  257656.27,  12.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 127,  12.700,  257353.09,  12.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 128,  12.800,  257464.73,  12.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 129,  12.900,  257057.19,  12.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 130,  13.000,  256882.91,  13.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 131,  13.100,  256844.00,  13.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 132,  13.200,  256739.27,  13.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 133,  13.300,  256591.64,  13.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 134,  13.400,  256454.27,  13.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 135,  13.500,  256464.73,  13.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 136,  13.600,  256627.19,  13.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 137,  13.700,  256498.55,  13.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 138,  13.800,  256552.27,  13.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 139,  13.900,  256275.09,  13.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 140,  14.000,  256484.64,  14.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 141,  14.100,  256300.19,  14.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 142,  14.200,  256298.73,  14.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 143,  14.300,  256185.36,  14.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 144,  14.400,  256319.45,  14.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 145,  14.500,  256466.64,  14.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 146,  14.600,  256263.91,  14.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 147,  14.700,  256134.45,  14.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 148,  14.800,  256253.27,  14.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 149,  14.900,  256294.64,  14.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 150,  15.000,  256254.00,  15.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
